PositionID,PositionTitle,PositionURI,Location,City,State,Country,Latitude,Longitude,Organization,Department,MinSalary,MaxSalary,SalaryInterval,JobCategory,JobGrade,Schedule,OfferingType,StartDate,EndDate,PublicationDate,CloseDate,TeleworkEligible,SecurityClearance,PromotionPotential,TravelCode,HiringPath,TotalOpenings,NormalisedSalary
AGL-ERR-20-2101-63651,Technical Operations (AJW) Airway Transportation Systems Specialist Employee Requested Reassignment,https://www.usajobs.gov:443/GetJob/ViewDetails/547366900,FAA Tech Ops 2101 ERR Duty Locations Throughout the Nation,"Saint Croix, Virgin Islands",Virgin Islands,United States,17.736315,-64.73595,Federal Aviation Administration,Department of Transportation,38560.0,123652.0,PA,Transportation Specialist,FV,,,2024-08-18 00:00:00.000,2025-08-17 23:59:59.997,2024-08-18 00:00:00.000,2025-08-17 23:59:59.997,False,Other,NA,2,fed-internal-search,Many,38560.0
DE-11553179-22-MVP,BOILER PLANT EQUIPMENT MECHANIC,https://www.usajobs.gov:443/GetJob/ViewDetails/663177200,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,27.6,39.13,PH,Heating & Boiler Plant Equipment Mechanic,WG,,,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,False,Secret,10,0,public,1,57408.0
DE-11599009-22-PLD,AIR CONDITIONING EQUIPMENT MECHANIC,https://www.usajobs.gov:443/GetJob/ViewDetails/669651300,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,27.6,39.13,PH,Air Conditioning Equipment Mechanic,WG,,,2024-07-16 00:00:00.000,2025-07-15 23:59:59.997,2024-07-16 00:00:00.000,2025-07-15 23:59:59.997,False,Secret,None,0,public,FEW,57408.0
DE-11611689-22-CCR,ELECTRICIAN,https://www.usajobs.gov:443/GetJob/ViewDetails/671620300,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,27.6,41.65,PH,Electrician,WG,,,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,False,Secret,None,0,public,1,57408.0
DE-11612048-22-DDF,PLUMBER,https://www.usajobs.gov:443/GetJob/ViewDetails/672231400,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,26.12,36.89,PH,Plumbing,WG,,,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,False,Secret,9,0,public,Unknown,54329.6
DE-11624800-22-MRT,HIGH VOLTAGE ELECTRICIAN,https://www.usajobs.gov:443/GetJob/ViewDetails/673238700,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,24.63,48.77,PH,High Voltage Electrician,WG,,,2024-07-15 00:00:00.000,2025-07-14 23:59:59.997,2024-07-15 00:00:00.000,2025-07-14 23:59:59.997,False,Secret,10,1,public,MANY,51230.4
DE-11620384-22-JEK,UTILITIES SYSTEMS OPERATOR,https://www.usajobs.gov:443/GetJob/ViewDetails/673484200,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,27.6,41.42,PH,Utility Systems Operating,WG,,,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,False,Confidential,11,1,public,3,57408.0
DE-11626495-22-AH,PIPEFITTER,https://www.usajobs.gov:443/GetJob/ViewDetails/673506900,Multiple Locations,"China Lake, California",California,United States,35.6506,-117.67,Naval Facilities Engineering Systems Command,Department of the Navy,27.6,41.65,PH,Pipefitting,WG,,,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,2024-07-09 00:00:00.000,2025-07-08 23:59:59.997,False,Secret,None,0,public,many,57408.0
AAC-FAA-23-PUB NOT-80706,Public Notice for General Engineer (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/684260400,May be filled in various FAA duty locations,"Belgium, Belgium",Unknown,Belgium,50.649,4.6419997,Federal Aviation Administration,Department of Transportation,47813.0,155403.0,PA,General Engineering,FV,,,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,True,Other,NA,1,public,Many,47813.0
AAC-FAA-23-PUB NOT-80712,Public Notice for Mechanical Engineer (Direct Hire),https://www.usajobs.gov:443/GetJob/ViewDetails/684260900,May be filled in various FAA duty locations,"Belgium, Belgium",Unknown,Belgium,50.649,4.6419997,Federal Aviation Administration,Department of Transportation,47813.0,155403.0,PA,Mechanical Engineering,FV,,,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,2024-09-23 00:00:00.000,2025-09-22 23:59:59.997,True,Other,NA,1,public,Many,47813.0
